"TIME","GEO","INDIC_BT","NACE_R2","S_ADJ","UNIT","Value","Flag and Footnotes"
"2000M05","Estonia","Index of turnover - Total","Mining and quarrying; manufacturing","Calendar adjusted data, not seasonally adjusted data","Percentage change compared to same period in previous year","20.0","s"
"2000M05","Estonia","Index of turnover - Total","Mining and quarrying; manufacturing","Seasonally and calendar adjusted data","Index, 2010=100","42.3","s"
"2000M05","Estonia","Index of turnover - Total","Mining and quarrying; manufacturing","Seasonally and calendar adjusted data","Percentage change over previous period","0.3","s"
"2000M05","Estonia","Index of turnover - Total","Mining and quarrying; manufacturing","Seasonally and calendar adjusted data","Percentage change compared to same period in previous year",":",""
"2000M05","Latvia","Index of turnover - Total","Mining and quarrying; manufacturing","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Index, 2010=100","40.0",""
"2000M05","Latvia","Index of turnover - Total","Mining and quarrying; manufacturing","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Percentage change over previous period",":",""
"2000M05","Latvia","Index of turnover - Total","Mining and quarrying; manufacturing","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Percentage change compared to same period in previous year",":",""
"2000M05","Latvia","Index of turnover - Total","Mining and quarrying; manufacturing","Calendar adjusted data, not seasonally adjusted data","Index, 2010=100","41.6",""
"2000M05","Latvia","Index of turnover - Total","Mining and quarrying; manufacturing","Calendar adjusted data, not seasonally adjusted data","Percentage change over previous period",":",""
"2000M05","Latvia","Index of turnover - Total","Mining and quarrying; manufacturing","Calendar adjusted data, not seasonally adjusted data","Percentage change compared to same period in previous year",":",""
"2000M05","Latvia","Index of turnover - Total","Mining and quarrying; manufacturing","Seasonally and calendar adjusted data","Index, 2010=100","39.0",""
"2000M05","Latvia","Index of turnover - Total","Mining and quarrying; manufacturing","Seasonally and calendar adjusted data","Percentage change over previous period","1.7",""
"2000M05","Latvia","Index of turnover - Total","Mining and quarrying; manufacturing","Seasonally and calendar adjusted data","Percentage change compared to same period in previous year",":",""
"2000M05","Lithuania","Index of turnover - Total","Mining and quarrying; manufacturing","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Index, 2010=100","38.3",""
"2000M05","Lithuania","Index of turnover - Total","Mining and quarrying; manufacturing","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Percentage change over previous period",":",""
"2000M05","Lithuania","Index of turnover - Total","Mining and quarrying; manufacturing","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Percentage change compared to same period in previous year",":",""
"2000M05","Lithuania","Index of turnover - Total","Mining and quarrying; manufacturing","Calendar adjusted data, not seasonally adjusted data","Index, 2010=100","37.7","s"
"2000M05","Lithuania","Index of turnover - Total","Mining and quarrying; manufacturing","Calendar adjusted data, not seasonally adjusted data","Percentage change over previous period",":",""
"2000M05","Lithuania","Index of turnover - Total","Mining and quarrying; manufacturing","Calendar adjusted data, not seasonally adjusted data","Percentage change compared to same period in previous year","6.6","s"
"2000M05","Lithuania","Index of turnover - Total","Mining and quarrying; manufacturing","Seasonally and calendar adjusted data","Index, 2010=100","36.5","s"
"2000M05","Lithuania","Index of turnover - Total","Mining and quarrying; manufacturing","Seasonally and calendar adjusted data","Percentage change over previous period","-3.4","s"
"2000M05","Lithuania","Index of turnover - Total","Mining and quarrying; manufacturing","Seasonally and calendar adjusted data","Percentage change compared to same period in previous year",":",""
"2000M06","Estonia","Index of turnover - Total","Mining and quarrying; manufacturing","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Index, 2010=100","46.6",""
"2000M06","Estonia","Index of turnover - Total","Mining and quarrying; manufacturing","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Percentage change over previous period",":",""
"2000M06","Estonia","Index of turnover - Total","Mining and quarrying; manufacturing","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Percentage change compared to same period in previous year",":",""
"2000M06","Estonia","Index of turnover - Total","Mining and quarrying; manufacturing","Calendar adjusted data, not seasonally adjusted data","Index, 2010=100","45.9","s"
"2000M06","Estonia","Index of turnover - Total","Mining and quarrying; manufacturing","Calendar adjusted data, not seasonally adjusted data","Percentage change over previous period",":",""
"2000M06","Estonia","Index of turnover - Total","Mining and quarrying; manufacturing","Calendar adjusted data, not seasonally adjusted data","Percentage change compared to same period in previous year","23.0","s"
"2000M06","Estonia","Index of turnover - Total","Mining and quarrying; manufacturing","Seasonally and calendar adjusted data","Index, 2010=100","44.2","s"
"2000M06","Estonia","Index of turnover - Total","Mining and quarrying; manufacturing","Seasonally and calendar adjusted data","Percentage change over previous period","4.4","s"
"2000M06","Estonia","Index of turnover - Total","Mining and quarrying; manufacturing","Seasonally and calendar adjusted data","Percentage change compared to same period in previous year",":",""
"2000M06","Latvia","Index of turnover - Total","Mining and quarrying; manufacturing","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Index, 2010=100","42.2",""
"2000M06","Latvia","Index of turnover - Total","Mining and quarrying; manufacturing","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Percentage change over previous period",":",""
"2000M06","Latvia","Index of turnover - Total","Mining and quarrying; manufacturing","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Percentage change compared to same period in previous year",":",""
"2000M06","Latvia","Index of turnover - Total","Mining and quarrying; manufacturing","Calendar adjusted data, not seasonally adjusted data","Index, 2010=100","43.1",""
"2000M06","Latvia","Index of turnover - Total","Mining and quarrying; manufacturing","Calendar adjusted data, not seasonally adjusted data","Percentage change over previous period",":",""
"2000M06","Latvia","Index of turnover - Total","Mining and quarrying; manufacturing","Calendar adjusted data, not seasonally adjusted data","Percentage change compared to same period in previous year",":",""
"2000M06","Latvia","Index of turnover - Total","Mining and quarrying; manufacturing","Seasonally and calendar adjusted data","Index, 2010=100","41.2",""
"2000M06","Latvia","Index of turnover - Total","Mining and quarrying; manufacturing","Seasonally and calendar adjusted data","Percentage change over previous period","5.6",""
"2000M06","Latvia","Index of turnover - Total","Mining and quarrying; manufacturing","Seasonally and calendar adjusted data","Percentage change compared to same period in previous year",":",""
"2000M06","Lithuania","Index of turnover - Total","Mining and quarrying; manufacturing","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Index, 2010=100","41.5",""
"2000M06","Lithuania","Index of turnover - Total","Mining and quarrying; manufacturing","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Percentage change over previous period",":",""
"2000M06","Lithuania","Index of turnover - Total","Mining and quarrying; manufacturing","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Percentage change compared to same period in previous year",":",""
"2000M06","Lithuania","Index of turnover - Total","Mining and quarrying; manufacturing","Calendar adjusted data, not seasonally adjusted data","Index, 2010=100","41.1","s"
